Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,batch size
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
QKTV,577,577,1,577,1,36,1,
Linear2,577,588,1,588,1,588,1,
mlp-FF-L1,577,588,1,588,1,4096,1,
mlp-FF-L2,577,4096,1,4096,1,588,1,
Linear1,577,588,1,588,1,588,1,
QKT,577,36,1,36,1,577,1,
